#{"t_start": 1653476702.604515, "env_id": null}
r,l,t,taskid,success
0.0,1,8.61939,5,1
0.0,1,8.774002,5,1
-18.757597,20,10.054296,0,0
-19.973387,20,10.054374,1,0
-19.992096,20,10.054408,2,0
-17.831867,20,10.054436,3,0
-18.219622,20,10.054467,4,0
-17.103653,20,10.054495,6,0
-19.985714,20,10.054521,7,0
-19.238209,20,10.054548,8,0
-19.285164,20,10.054576,9,0
-20.0,20,10.55266,5,0
-16.256037,20,11.758451,0,0
-19.969954,20,11.758532,1,0
-19.977137,20,11.758566,2,0
-18.931173,20,11.758594,3,0
-18.309265,20,11.758636,4,0
-18.853617,20,11.758667,6,0
-19.97057,20,11.758724,7,0
-19.086105,20,11.758768,8,0
-18.737303,20,11.7588,9,0
-20.0,20,12.186629,5,0
-18.991856,20,13.958743,0,0
-19.969467,20,13.958822,1,0
-19.993273,20,13.958856,2,0
-18.99237,20,13.958885,3,0
-18.048126,20,13.958911,4,0
-16.179552,20,13.958939,6,0
-19.986866,20,13.958965,7,0
-19.550453,20,13.958996,8,0
-18.807194,20,13.959025,9,0
-20.0,20,14.63694,5,0
0.0,1,14.780605,5,1
0.0,1,14.913258,5,1
0.0,1,15.028224,5,1
-17.523172,20,16.182343,0,0
-19.982744,20,16.182413,1,0
-19.98765,20,16.182448,2,0
-18.826569,20,16.182478,3,0
-18.336086,20,16.182507,4,0
-18.289093,20,16.182535,6,0
-19.994461,20,16.182562,7,0
-19.298815,20,16.18259,8,0
-18.442608,20,16.182618,9,0
-0.8936504,2,16.705227,9,1
-20.0,20,16.983699,5,0
-18.491995,20,18.273084,0,0
-19.968544,20,18.273205,1,0
-19.993889,20,18.273246,2,0
-18.69023,20,18.273285,3,0
-18.4728,20,18.273339,4,0
-18.757223,20,18.273452,6,0
-19.992064,20,18.27349,7,0
-18.246468,20,18.273522,8,0
-18.059029,20,18.751114,9,0
-1.8841801,3,18.971954,8,1
-20.0,20,19.416264,5,0
-4.5639253,6,19.573674,4,1
0.0,1,19.573881,5,1
-18.02158,20,20.370177,0,0
-19.982042,20,20.370273,1,0
-19.993578,20,20.370314,2,0
-18.608578,20,20.370348,3,0
-18.063068,20,20.370381,6,0
-19.984842,20,20.370413,7,0
-18.093424,20,20.907845,9,0
-19.003384,20,21.194804,8,0
-0.8960946,2,21.395763,9,1
-18.521904,20,21.774312,4,0
-19.999989,20,21.774425,5,0
0.0,1,21.950209,5,1
-18.02858,20,24.119128,0,0
-19.972591,20,24.119232,1,0
-19.97848,20,24.119269,2,0
-17.993534,20,24.119298,3,0
-18.554155,20,24.119328,6,0
-19.98715,20,24.119402,7,0
-19.476933,20,24.688546,8,0
-19.28389,20,24.843093,9,0
-18.584166,20,25.060121,4,0
-20.0,20,25.195635,5,0
-6.9998245,8,26.043372,5,1
-1.0,2,26.204274,5,1
-19.553516,20,26.535433,0,0
-19.9625,20,26.535514,1,0
-19.989769,20,26.535551,2,0
-17.777897,20,26.53558,3,0
-14.974208,20,26.53561,6,0
-19.985968,20,26.535638,7,0
-19.146727,20,27.050917,8,0
-17.66072,20,27.212664,9,0
-14.09319,20,27.453371,4,0
-20.0,20,28.304799,5,0
-18.294338,20,28.542109,0,0
-19.953817,20,28.542208,1,0
-19.983484,20,28.542244,2,0
-19.15789,20,28.542274,3,0
-19.181429,20,28.542303,6,0
-19.99145,20,28.542331,7,0
-3.0,4,28.84229,5,1
-19.484377,20,29.094662,8,0
-18.991375,20,29.212784,9,0
-18.274319,20,29.483625,4,0
