#{"t_start": 1648004650.129054, "env_id": null}
r,l,t
-20.0,20,9.427612
-20.0,20,9.427733
-20.0,20,9.427776
-20.0,20,9.427809
-20.0,20,12.188538
-20.0,20,12.188636
-20.0,20,12.188677
-20.0,20,12.18871
-20.0,20,15.490935
-20.0,20,15.491031
-20.0,20,15.491072
-20.0,20,15.491107
-20.0,20,18.904584
-20.0,20,18.904994
-20.0,20,18.905274
-20.0,20,18.905439
-20.0,20,22.54694
-20.0,20,22.547039
-20.0,20,22.547081
-20.0,20,22.547115
-20.0,20,25.812459
-20.0,20,25.812554
-20.0,20,25.812602
-20.0,20,25.812638
13.0,8,27.070465
-20.0,20,28.549008
-20.0,20,28.549107
-20.0,20,28.549149
-20.0,20,29.792317
-20.0,20,31.608036
-20.0,20,31.608137
-20.0,20,31.608178
8.0,13,31.742952
-20.0,20,35.409021
-20.0,20,35.409116
-20.0,20,35.409157
-20.0,20,35.537764
-20.0,20,38.392484
-20.0,20,38.392583
-20.0,20,38.392624
-20.0,20,38.492777
-20.0,20,41.871845
-20.0,20,41.871938
-20.0,20,41.871979
-20.0,20,41.988191
-20.0,20,45.1654
-20.0,20,45.165496
-20.0,20,45.165538
-20.0,20,45.257348
-20.0,20,49.100578
-20.0,20,49.100893
-20.0,20,49.101078
-20.0,20,49.412461
-20.0,20,52.221232
-20.0,20,52.221383
-20.0,20,52.221428
-20.0,20,52.42122
-20.0,20,56.298093
-20.0,20,56.298199
-20.0,20,56.298244
-20.0,20,56.444371
-20.0,20,60.177752
-20.0,20,60.177848
-20.0,20,60.177889
-20.0,20,60.309508
17.0,4,60.946535
4.0,17,62.880905
-20.0,20,63.454579
-20.0,20,63.454673
-20.0,20,64.174437
-20.0,20,66.328975
-20.0,20,66.844469
-20.0,20,66.844566
-20.0,20,67.608219
-20.0,20,69.317499
-20.0,20,69.838316
-20.0,20,69.838412
-20.0,20,70.588015
-20.0,20,72.166789
-20.0,20,72.600437
-20.0,20,72.600549
-20.0,20,73.320238
-20.0,20,75.238127
-20.0,20,75.858392
-20.0,20,75.858491
-20.0,20,76.583682
4.0,17,77.818057
-20.0,20,78.450398
-20.0,20,78.450496
-20.0,20,79.213062
-20.0,20,80.629974
-20.0,20,81.435963
-20.0,20,81.436061
-20.0,20,82.203807
-20.0,20,83.7476
-20.0,20,84.614043
-20.0,20,84.614141
-20.0,20,85.306723
-20.0,20,86.892794
-20.0,20,87.609855
-20.0,20,87.609951
-20.0,20,88.280509
-20.0,20,89.693756
-20.0,20,90.731342
-20.0,20,90.731438
-20.0,20,91.364979
-20.0,20,92.832606
-20.0,20,93.667858
-20.0,20,93.667975
-20.0,20,94.588407
-20.0,20,96.422865
-20.0,20,97.250277
-20.0,20,97.250388
-20.0,20,98.08484
-20.0,20,99.746112
-20.0,20,100.889092
-20.0,20,100.889186
-20.0,20,101.589314
-20.0,20,103.187578
-20.0,20,104.000471
-20.0,20,104.000569
-20.0,20,104.610611
-20.0,20,106.269957
-20.0,20,107.090221
-20.0,20,107.090318
19.0,2,107.442163
-20.0,20,108.025993
-20.0,20,109.346581
-20.0,20,110.185093
-20.0,20,110.459249
-20.0,20,110.923574
-20.0,20,112.061816
-20.0,20,112.840552
-20.0,20,113.142705
-20.0,20,113.487853
-20.0,20,115.010463
-20.0,20,116.032684
-20.0,20,116.316932
-20.0,20,116.871896
-20.0,20,118.226142
2.0,19,119.025352
-20.0,20,119.438894
-20.0,20,119.977592
-20.0,20,121.363171
-20.0,20,121.99922
4.0,17,121.999318
-20.0,20,122.925683
-20.0,20,124.987593
-20.0,20,125.908053
-20.0,20,125.908151
-20.0,20,126.605472
-20.0,20,128.044551
17.0,4,128.576765
-20.0,20,128.693051
-20.0,20,128.693148
-20.0,20,129.427788
-20.0,20,131.489039
-20.0,20,131.671862
-20.0,20,131.672254
-20.0,20,132.501074
-20.0,20,134.329514
-20.0,20,134.449157
-20.0,20,134.449239
-20.0,20,135.318788
-20.0,20,137.215087
-20.0,20,137.328744
-20.0,20,137.32884
-20.0,20,138.120192
-20.0,20,139.995779
-20.0,20,140.130149
-20.0,20,140.130244
-20.0,20,140.856128
4.0,17,142.037904
-20.0,20,142.642222
-20.0,20,142.642322
-20.0,20,143.353587
-20.0,20,144.567896
-20.0,20,145.00601
-20.0,20,145.006106
-20.0,20,145.647378
-20.0,20,146.847474
-20.0,20,147.413739
-20.0,20,147.413832
-20.0,20,148.16525
-20.0,20,149.646371
-20.0,20,150.208732
-20.0,20,150.208828
-20.0,20,151.035451
-20.0,20,152.810567
-20.0,20,153.324411
-20.0,20,153.324514
-20.0,20,154.150373
-20.0,20,155.418123
-20.0,20,155.890732
-20.0,20,155.89083
-20.0,20,156.604384
-20.0,20,157.86135
-20.0,20,158.306682
-20.0,20,158.306772
-20.0,20,159.057992
-20.0,20,160.317767
-20.0,20,160.83681
-20.0,20,160.836895
-20.0,20,161.631443
-20.0,20,162.933272
-20.0,20,163.426169
