#{"t_start": 1649217034.24455, "env_id": null}
r,l,t
-20.0,20,9.238997
-20.0,20,9.239096
-20.0,20,9.239128
-20.0,20,9.239154
-20.0,20,13.722642
-20.0,20,13.722722
-20.0,20,13.722752
-20.0,20,13.722777
-20.0,20,17.245731
-20.0,20,17.245819
-20.0,20,17.245851
-20.0,20,17.245876
-20.0,20,20.120689
-20.0,20,20.120771
-20.0,20,20.120801
-20.0,20,20.120827
-20.0,20,22.811196
-20.0,20,22.811278
-20.0,20,22.811308
-20.0,20,22.811332
-20.0,20,25.583524
-20.0,20,25.58361
-20.0,20,25.58364
-20.0,20,25.583665
-20.0,20,27.918116
-20.0,20,27.918203
-20.0,20,27.918234
-20.0,20,27.918259
-20.0,20,30.443612
-20.0,20,30.443697
-20.0,20,30.443728
-20.0,20,30.443752
-20.0,20,32.994416
-20.0,20,32.9945
-20.0,20,32.994529
-20.0,20,32.994553
-20.0,20,36.255087
-20.0,20,36.255186
-20.0,20,36.255217
-20.0,20,36.255242
-20.0,20,39.008305
-20.0,20,39.008388
-20.0,20,39.008418
-20.0,20,39.008443
-20.0,20,41.460362
-20.0,20,41.460445
-20.0,20,41.460475
-20.0,20,41.4605
-20.0,20,43.971936
-20.0,20,43.972025
-20.0,20,43.972056
-20.0,20,43.972082
-20.0,20,46.413291
-20.0,20,46.413372
-20.0,20,46.413401
-20.0,20,46.413426
-20.0,20,48.811163
-20.0,20,48.811244
-20.0,20,48.811273
-20.0,20,48.811297
-20.0,20,51.21954
-20.0,20,51.219623
-20.0,20,51.219654
-20.0,20,51.21968
-20.0,20,53.746654
-20.0,20,53.746781
-20.0,20,53.74682
-20.0,20,53.746847
-20.0,20,56.209874
-20.0,20,56.209959
-20.0,20,56.209989
-20.0,20,56.210014
-20.0,20,58.936021
-20.0,20,58.936106
-20.0,20,58.936136
-20.0,20,58.936161
-20.0,20,61.23478
-20.0,20,61.234864
-20.0,20,61.234893
-20.0,20,61.234917
-20.0,20,63.533011
-20.0,20,63.533121
-20.0,20,63.533151
-20.0,20,63.533176
-20.0,20,65.959459
-20.0,20,65.959547
-20.0,20,65.959579
-20.0,20,65.959604
-20.0,20,68.452603
-20.0,20,68.452689
-20.0,20,68.452719
-20.0,20,68.452743
-20.0,20,70.828204
-20.0,20,70.828286
-20.0,20,70.828317
-20.0,20,70.828341
-20.0,20,73.06594
-20.0,20,73.066023
-20.0,20,73.066053
-20.0,20,73.066077
-20.0,20,75.665769
-20.0,20,75.665982
-20.0,20,75.666012
-20.0,20,75.666036
-20.0,20,77.795926
-20.0,20,77.796006
-20.0,20,77.796033
-20.0,20,77.796055
-20.0,20,80.178289
-20.0,20,80.17837
-20.0,20,80.178399
-20.0,20,80.178424
-20.0,20,82.272102
-20.0,20,82.272189
-20.0,20,82.272218
-20.0,20,82.272242
-20.0,20,84.810703
-20.0,20,84.810785
-20.0,20,84.810815
-20.0,20,84.81084
-20.0,20,87.131184
-20.0,20,87.131268
-20.0,20,87.131299
-20.0,20,87.131325
-20.0,20,89.307545
-20.0,20,89.307627
-20.0,20,89.307657
-20.0,20,89.307681
-20.0,20,91.606929
-20.0,20,91.607009
-20.0,20,91.607039
-20.0,20,91.607063
-20.0,20,93.703629
-20.0,20,93.703713
-20.0,20,93.703742
-20.0,20,93.703767
-20.0,20,96.178295
-20.0,20,96.178383
-20.0,20,96.178414
-20.0,20,96.17844
-20.0,20,98.409021
-20.0,20,98.409106
-20.0,20,98.409136
-20.0,20,98.409161
-20.0,20,100.647907
-20.0,20,100.64799
-20.0,20,100.64802
-20.0,20,100.648044
-20.0,20,103.150842
-20.0,20,103.150925
-20.0,20,103.150955
-20.0,20,103.150979
-20.0,20,105.405784
-20.0,20,105.405875
-20.0,20,105.405906
-20.0,20,105.405931
-20.0,20,107.576417
-20.0,20,107.576502
-20.0,20,107.576532
-20.0,20,107.576557
-20.0,20,109.879008
-20.0,20,109.879089
-20.0,20,109.879119
-20.0,20,109.879143
-20.0,20,112.260415
-20.0,20,112.2605
-20.0,20,112.26053
-20.0,20,112.260555
-20.0,20,114.610539
-20.0,20,114.610621
-20.0,20,114.610651
-20.0,20,114.610675
-20.0,20,117.015371
-20.0,20,117.015456
-20.0,20,117.015488
-20.0,20,117.015513
-20.0,20,119.090887
-20.0,20,119.09097
-20.0,20,119.090998
-20.0,20,119.091023
-20.0,20,121.244569
-20.0,20,121.244651
-20.0,20,121.244684
-20.0,20,121.24471
-20.0,20,123.644574
-20.0,20,123.644637
-20.0,20,123.644665
-20.0,20,123.644689
-20.0,20,125.866744
-20.0,20,125.866837
-20.0,20,125.866869
-20.0,20,125.866894
-20.0,20,128.162647
-20.0,20,128.162729
-20.0,20,128.162759
-20.0,20,128.162783
-20.0,20,130.420394
-20.0,20,130.420477
-20.0,20,130.420507
-20.0,20,130.420531
-20.0,20,132.754936
-20.0,20,132.75504
-20.0,20,132.755071
-20.0,20,132.755093
-20.0,20,135.045022
-20.0,20,135.045094
-20.0,20,135.045118
-20.0,20,135.045137
-20.0,20,137.41056
-20.0,20,137.410635
-20.0,20,137.410661
-20.0,20,137.410682
-20.0,20,139.788953
-20.0,20,139.789047
-20.0,20,139.789074
-20.0,20,139.789093
-20.0,20,142.117128
-20.0,20,142.117205
-20.0,20,142.117232
-20.0,20,142.117253
-20.0,20,144.465975
-20.0,20,144.466054
-20.0,20,144.46608
-20.0,20,144.466101
-20.0,20,146.786791
-20.0,20,146.786867
-20.0,20,146.786893
-20.0,20,146.786914
-20.0,20,149.134246
-20.0,20,149.13432
-20.0,20,149.134355
-20.0,20,149.134375
-20.0,20,151.320609
-20.0,20,151.320686
-20.0,20,151.320712
-20.0,20,151.320733
-20.0,20,153.805915
-20.0,20,153.806013
